commit_id,confidence_high,confidence_medium,confidence_low,severity_high,severity_medium,severity_low,unique_cwes
04295ec177ed13ce6bdcea20f02f79fc4ce65c24,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
0496402c55b38d5d1080ade94fe9506f05094408,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
080410930158588e380a8d8b3f462d9001afad89,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
08acfa6f1f1478d48bdbaeed401242a472c18463,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
08f7cb8d3e82e553ba481077391cea0d003be789,59,1,0,4,5,51,"[78, 20, 22, 502, 703]"
0ad5a0e76e8c075380b94be753efd6f1eb47bf65,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
0c385e820fe6fedec627626cf4a735fd5d03599a,65,1,0,2,5,59,"[330, 78, 20, 502, 22, 703]"
129e512b0c1258de621eba14e01594dfa1c5847b,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
133cec97259dbeceb4b91165d59ee0fc01af06eb,59,1,0,4,5,51,"[78, 20, 22, 502, 703]"
154a473a128b001c641649c3f9f0cd769d53cbf2,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
1738876f4395e735908b11ef464fee703e207301,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
199395b6e35ca0a0c80c07abd31e0a1461c845de,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
1d0deb8a335490697ed013093aaee21296851319,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
1d14bae092a52cf73612b33d46a4ffcf2d96abb5,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
1f55832a6afe166b054a8497daf85e264582de66,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
1f8ad5be167081293b394bd89b0e71442a2a6eda,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
1fa17030a2d668fd2a6ad0fc1b3901ff447c7cb1,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
217eb6b486cf0d1c8f6e0d9d6fb06593165bab3c,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
23c9e67fa41ce0b7e43405e4952b3a5bdb08b3a8,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
29cb6f76fe89be8ede82b3c82ebf0e93c025b3ef,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
2dd0256af623cbe00bb59a5e6f2ff634193e9582,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
33c7f6d063e20eedad2cafbf9df6233b1c6f6370,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
34ad61d01397415924ef2790a32f29d420695d21,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
361d9d0652c734d231cf4eef498ca1d1a7d37639,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
371fca147be663a8f950de2893a25e608efd6a67,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
3b9ef57b220a324ba5fcb872f0f680e86c282b10,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
3cd3e8cedcc36d472ed751f064d3b51c08d96e9d,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
3e7244b90bd0d8ecee51d457f41678d8c40544f8,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
4251ff436a39e69d3bed1590c84b03c3796f7c85,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
43821ab2baafe44e5b0de99ed8e4d97cc44e2d20,65,1,0,2,5,59,"[330, 78, 20, 502, 22, 703]"
49c2b5cfe03aacf1bcee7797710e94f825cf8662,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
512fb897264ea094073120ebb3b4b8297dbac2cc,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
53b6c34ebec5a9c5478548ceb72adb5eec96b1da,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
54c8a9014b1b5bca7a3020335f79179e870b0d5b,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
