commit_id,confidence_high,confidence_medium,confidence_low,severity_high,severity_medium,severity_low,unique_cwes
001167028b6f83fa27242e185ea1b9ad25468052,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
02ae954bea9d02584bd4b863a3ca8d9d23b1bc45,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
0bb76dc67d222f32ce2773de732a8ef6be3104b7,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
110aae990e0789d42408eaeb8ffd3211f8a5ad52,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
1561246d1fa88561689a31e347bb8542b344b5a9,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
19e7874d7e491618487174f050b6bcd13e378f8f,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
1f6b3bede24a0ac7083cc8b5085cc34f25d8a628,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
20ce1ce5e4112212e28bd93921382cf808a5177b,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
2322a67670bbdbe29209d7eb6ac8d594dd0f3b8d,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
27d0725dc06c64eaaa70957fb6d0f3f0ddd46013,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
2a888b33eb55266daba498b3374f18b0e3355e44,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
2b20ca04acc5f07e05ddef1533d0decb0c14482b,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
2c28d49a788b7377cd76dd2b7da0dc12816efd77,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
2d31cb9bee8645c623560cfcbfbb61111c51f6dc,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
2e087b9a5d7303506dc802842776541730942ddc,82,42,1,15,16,94,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
3113b9ec0cd13573a3399bf0830c561a200eb2d7,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
3192486d4e6254f47ce06a4699421633b8a6e5c4,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
343dd16956585e5e25aa59158c7f783dc4acbd5a,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
3b2731d7dc8899533fa2311c8717232b3328e9c8,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
